"","species","decimalLongitude","decimalLatitude"
"400","Pteridium aquilinum",-91.135975,34.612487
"401","Pteridium aquilinum",-75.089828,38.773553
"402","Pteridium aquilinum",-122.233743,37.36034
"403","Pteridium aquilinum",-122.057584,36.996664
"404","Pteridium aquilinum",-121.770393,36.661536
"405","Pteridium aquilinum",-82.026676,26.876406
"406","Pteridium aquilinum",-121.026519,35.511797
"407","Pteridium aquilinum",-73.10979,44.41094
"408","Pteridium aquilinum",-86.280846,30.370176
"409","Pteridium aquilinum",-110.79007,40.8147
"410","Pteridium aquilinum",-77.26293,45.895083
"411","Pteridium aquilinum",-77.345214,37.177763
"412","Pteridium aquilinum",-73.179297,44.600625
"413","Pteridium aquilinum",-123.470404,48.47455
"414","Pteridium aquilinum",-122.330614,37.203883
"415","Pteridium aquilinum",-75.089874,38.773558
"416","Pteridium aquilinum",-94.154091,30.245232
"417","Pteridium aquilinum",-122.473068,37.571274
"418","Pteridium aquilinum",-122.661836,38.019567
"419","Pteridium aquilinum",-74.797645,44.154686
"420","Pteridium aquilinum",-73.125586,44.634803
"421","Pteridium aquilinum",-122.690486,38.571895
"422","Pteridium aquilinum",-72.319479,44.321576
"423","Pteridium aquilinum",-122.881159,38.03554
"424","Pteridium aquilinum",-70.698729,41.735775
"425","Pteridium aquilinum",-122.634117,37.994675
"426","Pteridium aquilinum",-73.282478,44.544753
"427","Pteridium aquilinum",-74.796745,43.768902
"428","Pteridium aquilinum",-88.198533,36.690078
"429","Pteridium aquilinum",-123.95179,49.068714
"430","Pteridium aquilinum",-121.817427,36.659002
"431","Pteridium aquilinum",-122.806843,38.037576
"432","Pteridium aquilinum",-72.525441,42.558992
"433","Pteridium aquilinum",-80.524153,44.0622
"434","Pteridium aquilinum",-122.863355,38.078124
"435","Pteridium aquilinum",-122.863296,38.078207
"436","Pteridium aquilinum",-89.699958,46.018311
"437","Pteridium aquilinum",-85.2463,34.3278
"438","Pteridium aquilinum",-81.679766,33.158864
"439","Pteridium aquilinum",-81.8454,33.333533
"440","Pteridium aquilinum",-76.408348,36.550252
"441","Pteridium aquilinum",-79.07427,34.70761
"442","Pteridium aquilinum",-85.9436,44.7547
"443","Pteridium aquilinum",-72.659983,44.138784
"444","Pteridium aquilinum",-78.7499,35.398908
"445","Pteridium aquilinum",-78.759961,35.4037
"446","Pteridium aquilinum",-93.52126,29.99417
"447","Pteridium aquilinum",-93.953333,32.250556
"448","Pteridium aquilinum",-93.563583,32.497778
"449","Pteridium aquilinum",-122.185287,37.839528
"450","Pteridium aquilinum",-72.096079,43.501773
"451","Pteridium aquilinum",-92.855354,46.167373
"452","Pteridium aquilinum",-82.415047,27.112847
"453","Pteridium aquilinum",-124.035038,44.414484
"454","Pteridium aquilinum",-123.517077,48.386078
"455","Pteridium aquilinum",-82.285054,26.986229
"456","Pteridium aquilinum",-82.484561,27.197681
"457","Pteridium aquilinum",-82.262567,27.334489
"458","Pteridium aquilinum",-70.118836,41.686608
"459","Pteridium aquilinum",-87.673646,30.263224
"460","Pteridium aquilinum",-70.11905,41.686658
"461","Pteridium aquilinum",-82.151069,26.98558
"462","Pteridium aquilinum",-95.196007,47.230606
"463","Pteridium aquilinum",-121.632212,39.96972
"464","Pteridium aquilinum",-72.095709,43.501326
"465","Pteridium aquilinum",-122.808574,38.020516
"466","Pteridium aquilinum",-122.191628,37.840958
"467","Pteridium aquilinum",-83.932465,43.691923
"468","Pteridium aquilinum",-73.054539,44.49937
"469","Pteridium aquilinum",-105.64598,40.310955
"470","Pteridium aquilinum",-82.262672,27.334636
"471","Pteridium aquilinum",-82.374053,26.974013
"472","Pteridium aquilinum",-82.257942,27.334756
"473","Pteridium aquilinum",-81.837595,26.442313
"474","Pteridium aquilinum",-82.259903,27.330751
"475","Pteridium aquilinum",-72.461714,44.340913
"476","Pteridium aquilinum",-156.154148,20.679697
"477","Pteridium aquilinum",-123.39208,48.519938
"478","Pteridium aquilinum",-121.763558,36.981678
"479","Pteridium aquilinum",-123.458087,48.532815
"480","Pteridium aquilinum",-82.344223,27.477288
"481","Pteridium aquilinum",-75.284545,41.150593
"482","Pteridium aquilinum",-84.088786,30.39167
"483","Pteridium aquilinum",-82.484799,27.198232
"484","Pteridium aquilinum",-82.461048,27.173826
"485","Pteridium aquilinum",-81.773637,29.31898
"486","Pteridium aquilinum",-82.33353,27.093548
"487","Pteridium aquilinum",-88.194141,45.819298
"488","Pteridium aquilinum",-74.198293,46.029397
"489","Pteridium aquilinum",-122.068755,36.984567
"490","Pteridium aquilinum",-122.052933,37.043433
"491","Pteridium aquilinum",-122.531224,38.343919
"492","Pteridium aquilinum",-70.117294,41.685842
"493","Pteridium aquilinum",-123.814143,49.017568
"494","Pteridium aquilinum",-82.484785,27.198226
"495","Pteridium aquilinum",-123.52408,48.388566
